Point(133.9237065 34.6724367):758 
Point(133.9237065 34.6724367)	Point(133.8362679 34.5899827):504 
Point(133.9237065 34.6724367)	Point(133.8171478 34.6075268):600 
Point(139.5958234 35.9131412):761 
Point(134.8883981 34.6986724):761 
Point(134.8883981 34.6986724)	Point(134.8433809 34.727075):538 
Point(130.4385813 33.6719413):765 
Point(130.4385813 33.6719413)	Point(130.4334872 33.5533525):519 
Point(130.4385813 33.6719413)	Point(130.6939898 33.89368080000001):529 
Point(130.4385813 33.6719413)	Point(130.2527462 33.5854231):587 
Point(130.0254025 33.19687570000001):767 
Point(130.0254025 33.19687570000001)	Point(130.1504313 33.1849969):547 
Point(134.7906399 34.7659515):767 
Point(134.7906399 34.7659515)	Point(134.8433809 34.727075):526 
Point(133.6888858 34.628022):768 
Point(135.5636216 34.4552291):770 
Point(131.7646901 34.0729216):774 
Point(131.3010585 31.8391689):783 
Point(128.8460344 32.6989579):785 
Point(140.1909326 36.0707298):785 
Point(139.9033705 35.7876179):786 
Point(133.7489712 34.6705868):789 
Point(133.7489712 34.6705868)	Point(133.8171478 34.6075268):584 
Point(133.9856567 34.6841435):790 
Point(133.9856567 34.6841435)	Point(133.8171478 34.6075268):584 
Point(139.7314741 35.8535759):791 
Point(139.7314741 35.8535759)	Point(139.750635 35.7977241):522 
Point(139.7314741 35.8535759)	Point(139.880097 35.953403):537 
Point(130.0518805 32.512424):791 
Point(135.1446307 34.2333169):791 
Point(130.5930246 33.201191):804 
Point(132.7326196 33.8884275):804 
Point(131.0796778 31.76077):807 
Point(131.061519 31.719543):811 
Point(134.6595313 34.7887543):816 
Point(134.6595313 34.7887543)	Point(133.8171478 34.6075268):500 
Point(134.6595313 34.7887543)	Point(134.8433809 34.727075):510 
Point(139.750635 35.7977241):817 
Point(139.750635 35.7977241)	Point(139.880097 35.953403):567 
Point(140.4634634 40.7818583):819 
Point(134.8776041 34.743471):829 
Point(134.8776041 34.743471)	Point(134.842399 34.7573094):516 
Point(134.8776041 34.743471)	Point(133.8171478 34.6075268):522 
Point(134.8776041 34.743471)	Point(134.8433809 34.727075):575 
Point(135.5192376 34.6818742):831 
Point(139.7276703 35.9545853):831 
Point(139.7276703 35.9545853)	Point(139.880097 35.953403):599 
Point(139.7276703 35.9545853)	Point(139.7456856 35.9723261):609 
Point(135.5672092 34.4387959):832 
Point(135.5672092 34.4387959)	Point(135.2734005 34.3659929):526 
Point(135.5672092 34.4387959)	Point(135.5972974 34.4998488):572 
Point(139.7456856 35.9723261):835 
Point(139.7456856 35.9723261)	Point(139.880097 35.953403):610 
Point(134.6827798 34.8351058):835 
Point(134.6827798 34.8351058)	Point(133.7597423 34.5165856):501 
Point(134.6827798 34.8351058)	Point(133.8171478 34.6075268):520 
Point(134.6827798 34.8351058)	Point(134.8433809 34.727075):543 
Point(130.7597913 33.8615931):846 
Point(130.7597913 33.8615931)	Point(130.9612121 33.8854016):533 
Point(130.7597913 33.8615931)	Point(130.6939898 33.89368080000001):565 
Point(130.7597913 33.8615931)	Point(130.850335 33.8863949):565 
Point(130.7597913 33.8615931)	Point(130.7998865 33.868205):580 
Point(130.7597913 33.8615931)	Point(130.7998865 33.868205)	Point(130.8073796 33.9015062):503 
Point(130.7597913 33.8615931)	Point(130.8073796 33.9015062):581 
Point(130.7597913 33.8615931)	Point(130.8073796 33.9015062)	Point(130.8293822 33.8952617):513 
Point(130.7597913 33.8615931)	Point(130.8293822 33.8952617):586 
Point(133.8443247 35.43944500000001):846 
Point(130.1934363 32.4585255):849 
Point(130.4334872 33.5533525):851 
Point(130.4334872 33.5533525)	Point(130.5006302 33.510286):580 
Point(130.4334872 33.5533525)	Point(130.2527462 33.5854231):640 
Point(135.5212195 34.756319):854 
Point(135.5212195 34.756319)	Point(135.5018183 34.530998):515 
Point(135.5212195 34.756319)	Point(135.4721574 34.5939635):520 
Point(135.5212195 34.756319)	Point(135.4740101 34.6407367):522 
Point(135.5212195 34.756319)	Point(135.5113011 34.604784):551 
Point(135.5212195 34.756319)	Point(135.4726219 34.6729017):584 
Point(131.7190302 33.2480139):854 
Point(130.9882162 34.003159):856 
Point(129.9593119 33.4542386):863 
Point(129.9593119 33.4542386)	Point(130.2105074 33.5646022):502 
Point(129.9593119 33.4542386)	Point(130.1504313 33.1849969):508 
Point(129.9593119 33.4542386)	Point(130.2527462 33.5854231):546 
Point(129.9593119 33.4542386)	Point(129.9041873 33.2769087):550 
Point(130.7726649 33.6327558):863 
Point(130.5006302 33.510286):867 
Point(130.5006302 33.510286)	Point(130.5555506 33.396427):513 
Point(130.5006302 33.510286)	Point(130.7140311 32.8044066):527 
Point(130.5006302 33.510286)	Point(130.2527462 33.5854231):533 
Point(130.4989564 33.373168):871 
Point(130.4989564 33.373168)	Point(130.3755655 33.3045177):510 
Point(130.4989564 33.373168)	Point(130.4671466 33.2544504):518 
Point(130.4989564 33.373168)	Point(130.7140311 32.8044066):523 
Point(130.6949011 33.6133649):872 
Point(133.3619721 34.4859545):874 
Point(133.3619721 34.4859545)	Point(133.4605487 34.4942837):559 
Point(133.3619721 34.4859545)	Point(133.3943468 34.4692547):573 
Point(136.8149927 35.0744635):885 
Point(139.6646544 35.81905709999999):885 
Point(139.6646544 35.81905709999999)	Point(139.5197372 35.8033447):507 
Point(130.8841776 32.8778981):896 
Point(130.8841776 32.8778981)	Point(130.7140311 32.8044066):628 
Point(130.4630905 33.7163949):901 
Point(130.4630905 33.7163949)	Point(130.2105074 33.5646022):520 
Point(130.4630905 33.7163949)	Point(130.540609 33.8046154):602 
Point(135.8303094 34.5948116):904 
Point(130.8129958 32.9789312):905 
Point(130.8129958 32.9789312)	Point(130.7140311 32.8044066):573 
Point(140.5779348 35.7212275):908 
Point(139.5221929 36.06596):912 
Point(140.0415732 35.7294164):913 
Point(139.0432674 36.64710669999999):920 
Point(139.0432674 36.64710669999999)	Point(139.5197372 35.8033447):506 
Point(139.0432674 36.64710669999999)	Point(140.5781487 39.3100292):553 
Point(139.0432674 36.64710669999999)	Point(139.6623882 36.0656055):624 
Point(139.0432674 36.64710669999999)	Point(139.6623882 36.0656055)	Point(139.6681689 36.0701176):584 
Point(139.0432674 36.64710669999999)	Point(139.6681689 36.0701176):687 
Point(129.7311166 33.1592435):926 
Point(129.7311166 33.1592435)	Point(130.7140311 32.8044066):513 
Point(129.7311166 33.1592435)	Point(130.1504313 33.1849969):529 
Point(133.3294451 34.5548708):930 
Point(133.3294451 34.5548708)	Point(133.4605487 34.4942837):533 
Point(139.9920425 36.0342626):947 
Point(139.9920425 36.0342626)	Point(139.9602831 36.1842223):532 
Point(139.9920425 36.0342626)	Point(139.880097 35.953403):641 
Point(131.5510242 33.1890619):948 
Point(130.3755655 33.3045177):949 
Point(130.3755655 33.3045177)	Point(130.4349005 33.0344876):524 
Point(130.3755655 33.3045177)	Point(130.1504313 33.1849969):566 
Point(130.3755655 33.3045177)	Point(130.4671466 33.2544504):601 
Point(130.3755655 33.3045177)	Point(130.7140311 32.8044066):607 
Point(130.1948336 32.4611967):950 
Point(130.1948336 32.4611967)	Point(130.7140311 32.8044066):535 
Point(130.6308774 32.765727):954 
Point(130.6308774 32.765727)	Point(130.7535418 32.8482694):528 
Point(130.6308774 32.765727)	Point(130.7535418 32.8482694)	Point(130.7140311 32.8044066):514 
Point(130.6308774 32.765727)	Point(130.7141951 32.7262946):545 
Point(130.6308774 32.765727)	Point(130.7033798 32.8165263):555 
Point(130.6308774 32.765727)	Point(130.7033798 32.8165263)	Point(130.7140311 32.8044066):543 
Point(130.6308774 32.765727)	Point(130.7140311 32.8044066):724 
Point(129.9682676 33.4500971):954 
Point(129.9682676 33.4500971)	Point(129.9041873 33.2769087):533 
Point(129.9682676 33.4500971)	Point(129.691157 33.7505959):568 
Point(129.9682676 33.4500971)	Point(130.2527462 33.5854231):624 
Point(130.7998865 33.868205):957 
Point(130.7998865 33.868205)	Point(130.9612121 33.8854016):524 
Point(130.7998865 33.868205)	Point(130.8968264 33.9422417):549 
Point(130.7998865 33.868205)	Point(130.2527462 33.5854231):553 
Point(130.7998865 33.868205)	Point(130.6939898 33.89368080000001):567 
Point(130.7998865 33.868205)	Point(130.6939898 33.89368080000001)	Point(130.8073796 33.9015062):513 
Point(130.7998865 33.868205)	Point(130.8293822 33.8952617):665 
Point(130.7998865 33.868205)	Point(130.8293822 33.8952617)	Point(130.850335 33.8863949):557 
Point(130.7998865 33.868205)	Point(130.8293822 33.8952617)	Point(130.850335 33.8863949)	Point(130.8073796 33.9015062):507 
Point(130.7998865 33.868205)	Point(130.8293822 33.8952617)	Point(130.8073796 33.9015062):577 
Point(130.7998865 33.868205)	Point(130.850335 33.8863949):673 
Point(130.7998865 33.868205)	Point(130.850335 33.8863949)	Point(130.8073796 33.9015062):579 
Point(130.7998865 33.868205)	Point(130.8073796 33.9015062):701 
Point(133.786488 34.228752):967 
Point(133.786488 34.228752)	Point(133.3943468 34.4692547):500 
Point(133.786488 34.228752)	Point(133.6627923 34.1284249):520 
Point(133.786488 34.228752)	Point(133.8171478 34.6075268):559 
Point(133.786488 34.228752)	Point(133.4605487 34.4942837):563 
Point(133.786488 34.228752)	Point(133.7536465 34.2725045):572 
Point(133.786488 34.228752)	Point(133.7976091 34.2895316):575 
Point(139.9602831 36.1842223):967 
Point(139.9602831 36.1842223)	Point(139.880097 35.953403):675 
Point(135.4805698 34.7279232):968 
Point(135.4805698 34.7279232)	Point(135.4910591 34.6227715):689 
Point(130.9612121 33.8854016):974 
Point(130.9612121 33.8854016)	Point(130.6939898 33.89368080000001):503 
Point(130.9612121 33.8854016)	Point(130.8968264 33.9422417):539 
Point(130.9612121 33.8854016)	Point(130.8073796 33.9015062):563 
Point(130.9612121 33.8854016)	Point(130.8293822 33.8952617):581 
Point(130.9612121 33.8854016)	Point(130.9805349 33.77587159999999):592 
Point(130.9612121 33.8854016)	Point(130.850335 33.8863949):610 
Point(130.5076516 33.32085):979 
Point(130.5076516 33.32085)	Point(130.7140311 32.8044066):507 
Point(130.5076516 33.32085)	Point(130.4671466 33.2544504):565 
Point(130.3992939 32.2152235):994 
Point(130.3992939 32.2152235)	Point(130.7140311 32.8044066):547 
Point(130.5574211 31.5967656):999 
Point(130.5574211 31.5967656)	Point(130.5548872 31.5638531):538 
Point(132.9994212 34.0632635):1009 
Point(132.9994212 34.0632635)	Point(133.4605487 34.4942837):509 
Point(132.9994212 34.0632635)	Point(133.0801232 33.9316927):558 
Point(132.9994212 34.0632635)	Point(133.1917875 33.9177615):581 
